samp_id,project_code,coord_y,coord_x,datetime,samp_wdepth_cm,samp_notes,tn_mgL,tp_mgL,nitrate_nitrite_mgL,total_ammonia_mgL,tkn_mgL,urea_mgL,drp_mgL,UNUT_primary_flag,UNUT_primary_flag_details,FNUT_primary_flag,FNUT_primary_flag_details
W01521,SPRC,40.067705,-84.210176,9/20/2021 4:00,NA,No water depth collected,1.1,0.12,0.008,0.014,NA,0.027,0,1,tp_mgL_ATT_flag,0,"nitrate_nitrite_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01522,SPRC,40.065542,-84.212099,9/20/2021 4:00,NA,No depth collected,0.646,0.026,0.335,0,NA,0.007,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01523,SPRC,40.063947,-84.211973,9/20/2021 4:00,NA,No depth collected,1.115,0.147,0.06,0,NA,0.01,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01534,SPRC,40.069003,-84.209451,10/18/2021 4:00,NA,No depth collected,1.62,0.024,1.618,0,NA,0.001,0.003,0,NA,0,"total_ammonia_mgL-below-detection-limit, urea_mgL-below-detection-limit"
W01535,SPRC,40.067705,-84.210176,10/18/2021 13:20,NA,No depth collected,1.585,0.02,1.456,0,NA,0.01,0.014,0,NA,1,"drp_mgL_ATT_flag, total_ammonia_mgL-below-detection-limit"
W01536,SPRC,40.06726,-84.211222,10/18/2021 4:00,NA,No depth collected,0.493,0.074,0.078,0,NA,0.011,0.032,0,NA,0,total_ammonia_mgL-below-detection-limit
W01537,SPRC,40.065542,-84.212099,10/18/2021 4:00,NA,No depth collected,2.857,0.021,0.945,0,NA,0.007,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01538,SPRC,40.063947,-84.211973,10/18/2021 4:00,NA,No depth collected,0.367,0.039,0.008,0,NA,0.008,0,0,NA,0,"nitrate_nitrite_mgL-below-detection-limit, total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01544,SPRC,40.069003,-84.209451,10/25/2021 4:00,NA,No depth recorded,6.376,0.225,5.357,0,NA,0.029,0.177,1,tp_mgL_ATT_flag,1,"drp_mgL_ATT_flag, total_ammonia_mgL-below-detection-limit"
W01545,SPRC,40.067705,-84.210176,10/25/2021 4:00,NA,No depth collected,1.814,0.028,1.762,0,NA,0.009,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01546,SPRC,40.06726,-84.211222,10/25/2021 4:00,NA,No depth collected,1.7,0.043,1.69,0,NA,0.006,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01547,SPRC,40.065542,-84.212099,10/25/2021 4:00,NA,No depth collected,1.275,0.022,1.274,0.034,NA,0.008,0,0,NA,0,drp_mgL-below-detection-limit
W01548,SPRC,40.066921,-84.212824,10/25/2021 4:00,NA,No depth collected,5.498,0.224,5.432,0.015,NA,0.024,0.18,0,NA,0,NA
W01549,SPRC,40.078071,-84.216866,10/25/2021 4:00,NA,No depth collected,6.095,0.255,5.423,0.042,NA,0.032,0.089,0,NA,0,NA
W01550,SPRC,40.069003,-84.209451,10/26/2021 4:00,NA,No depth collected,7.897,0.146,6.282,0,NA,0.029,0.065,0,NA,1,"drp_mgL_ATT_flag, total_ammonia_mgL-below-detection-limit"
W01551,SPRC,40.067705,-84.210176,10/26/2021 4:00,NA,No depth collected,1.72,0.022,1.716,0,NA,0.006,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01552,SPRC,40.06726,-84.211222,10/26/2021 4:00,NA,NO RECORD OF WATER DEPTH,1.71,0.024,1.705,0,NA,0.008,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01553,SPRC,40.065542,-84.212099,10/26/2021 4:00,NA,NO RECORD OF WATER DEPTH,1.898,0.019,1.661,0.027,NA,0.005,0,0,NA,0,drp_mgL-below-detection-limit
W01554,SPRC,40.066921,-84.212824,10/26/2021 4:00,NA,NO RECORD OF WATER DEPTH,8.328,0.211,7.366,0.035,NA,0.025,0.105,0,NA,0,NA
W01555,SPRC,40.078071,-84.216866,10/26/2021 4:00,NA,NA,9.343,0.252,7.97,0.052,NA,0.028,0.131,0,NA,0,NA
W01561,SPRC,40.069003,-84.209451,11/8/2021 5:00,NA,NO RECORD OF WATER DEPTH,3.893,0.035,3.851,0,NA,0.011,0.008,0,NA,0,total_ammonia_mgL-below-detection-limit
W01562,SPRC,40.067705,-84.210176,11/8/2021 5:00,NA,NO RECORD OF WATER DEPTH,0.606,0.075,2.868,0,NA,0.014,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01563,SPRC,40.06726,-84.211222,11/8/2021 5:00,NA,NA,2.756,0.001,2.724,0,NA,0.009,0.004,0,tp_mgL-below-detection-limit,0,total_ammonia_mgL-below-detection-limit
W01564,SPRC,40.065542,-84.212099,11/8/2021 5:00,NA,NO RECORD OF WATER DEPTH,5.623,0.017,1.211,0,NA,0.019,0,0,NA,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
W01565,SPRC,40.066921,-84.212824,11/8/2021 5:00,NA,NO RECORD OF WATER DEPTH,3.739,0.097,3.676,0.002,NA,0.05,0.033,0,NA,0,NA
W01566,SPRC,40.078071,-84.216866,11/8/2021 5:00,NA,NO RECORD OF WATER DETPH,3.56,0.104,3.535,0.01,NA,0.039,0.038,0,NA,0,NA
W01572,SPRC,40.069003,-84.209451,12/2/2021 5:00,NA,NO RECORD OF WATER DEPTH,3.881,0.001,3.407,0,NA,0.006,0.003,0,tp_mgL-below-detection-limit,0,total_ammonia_mgL-below-detection-limit
W01573,SPRC,40.067705,-84.210176,12/2/2021 5:00,NA,NO RECORD OF WATER DEPTH,3.327,0.001,2.954,0,NA,0.005,0,0,tp_mgL-below-detection-limit,0,"total_ammonia_mgL-below-detection-limit, drp_mgL-below-detection-limit"
