Date,Time,ms,LEVEL,TEMPERATURE,source_file,Date_clean,Time_clean,datetime
11/29/2023,3:49:59 PM,0,-0.7,20.8,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,3:49:59 PM,11/29/2023 15:49
11/29/2023,4:19:59 PM,0,18.7,18.7,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,4:19:59 PM,11/29/2023 16:19
11/29/2023,4:49:59 PM,0,18.5,18.8,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,4:49:59 PM,11/29/2023 16:49
11/29/2023,5:19:59 PM,0,18.9,18.9,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,5:19:59 PM,11/29/2023 17:19
11/29/2023,5:49:59 PM,0,18.7,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,5:49:59 PM,11/29/2023 17:49
11/29/2023,6:19:59 PM,0,18.5,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,6:19:59 PM,11/29/2023 18:19
11/29/2023,6:49:59 PM,0,18.3,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,6:49:59 PM,11/29/2023 18:49
11/29/2023,7:19:59 PM,0,18.7,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,7:19:59 PM,11/29/2023 19:19
11/29/2023,7:49:59 PM,0,18.2,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,7:49:59 PM,11/29/2023 19:49
11/29/2023,8:19:59 PM,0,17.9,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,8:19:59 PM,11/29/2023 20:19
11/29/2023,8:49:59 PM,0,18.5,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,8:49:59 PM,11/29/2023 20:49
11/29/2023,9:19:59 PM,0,18.4,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,9:19:59 PM,11/29/2023 21:19
11/29/2023,9:49:59 PM,0,17.8,18.9,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,9:49:59 PM,11/29/2023 21:49
11/29/2023,10:19:59 PM,0,18,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,10:19:59 PM,11/29/2023 22:19
11/29/2023,10:49:59 PM,0,18.2,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,10:49:59 PM,11/29/2023 22:49
11/29/2023,11:19:59 PM,0,18.3,19.1,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,11:19:59 PM,11/29/2023 23:19
11/29/2023,11:49:59 PM,0,18.3,19.1,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/29/2023,11:49:59 PM,11/29/2023 23:49
11/30/2023,12:19:59 AM,0,18.1,19.2,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/30/2023,12:19:59 AM,11/30/2023 0:19
11/30/2023,12:49:59 AM,0,18.1,19.2,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/30/2023,12:49:59 AM,11/30/2023 0:49
11/30/2023,1:19:59 AM,0,17.7,19,WS_SPRC_04_h2ohio_wll06_20231129_20250310.csv,11/30/2023,1:19:59 AM,11/30/2023 1:19
